Ticket,Open,Type,Volume,Symbol,Price_open,SL,TP,Close,Price_close,Swap,Commissions,Profit,Pips,Trade duration in seconds
56552783,2022-11-18 17:58:51,sell,6.0,US100.cash,11630.2,11701.0,11544.0,2022-11-18 20:00:48,11599.0,0.0,0.0,187.2,31.2,7317
56535878,2022-11-18 16:46:43,sell,6.0,US100.cash,11737.2,11812.0,11660.0,2022-11-18 17:05:22,11664.4,0.0,0.0,436.8,72.8,1119
56435181,2022-11-17 19:01:34,buy,4.0,US100.cash,11682.7,11562.0,11804.0,2022-11-18 15:00:02,11776.2,-0.66,0.0,374.0,93.5,71908
56451873,2022-11-17 22:02:18,sell,5.0,US100.cash,11645.9,11747.0,11547.0,2022-11-18 12:38:38,11748.8,-19.27,0.0,-514.5,-102.9,52580
56389378,2022-11-17 15:00:50,sell,8.0,US100.cash,11575.4,11654.0,11535.0,2022-11-17 15:41:58,11534.9,0.0,0.0,324.0,40.5,2468
56332981,2022-11-17 04:02:50,sell,16.0,US100.cash,11722.8,11751.0,11688.0,2022-11-17 08:43:53,11751.3,0.0,0.0,-456.0,-28.5,16863
56270850,2022-11-16 16:29:14,sell,10.0,US100.cash,11785.8,11876.0,11675.0,2022-11-16 17:28:21,11704.3,0.0,0.0,815.0,81.5,3547
56247720,2022-11-16 13:50:23,sell,14.0,US100.cash,11861.0,11929.0,11778.0,2022-11-16 16:25:05,11788.7,0.0,0.0,1012.2,72.3,9282
56210731,2022-11-16 07:30:17,buy,16.0,US100.cash,11873.4,11810.0,11934.0,2022-11-16 15:30:17,11803.8,0.0,0.0,-1113.6,-69.6,28800
56207730,2022-11-16 06:23:44,sell,25.0,US100.cash,11836.5,11875.0,11794.0,2022-11-16 07:18:24,11875.7,0.0,0.0,-980.0,-39.2,3280
56197695,2022-11-16 03:01:24,sell,16.0,US100.cash,11805.3,11864.0,11735.0,2022-11-16 04:38:55,11865.1,0.0,0.0,-956.8,-59.8,5851
56138020,2022-11-15 17:07:05,buy,11.0,US100.cash,12001.5,11910.0,12090.0,2022-11-15 18:02:31,11909.8,0.0,0.0,-1008.7,-91.7,3326
56100276,2022-11-15 14:30:25,buy,20.0,US100.cash,11875.9,11817.0,11935.0,2022-11-15 15:30:04,11940.1,0.0,0.0,1284.0,64.2,3579
56049140,2022-11-15 04:01:33,buy,38.0,US100.cash,11754.0,11724.0,11776.0,2022-11-15 05:52:53,11776.5,0.0,0.0,855.0,22.5,6680
56045850,2022-11-15 03:02:15,sell,48.0,US100.cash,11730.1,11750.0,11707.0,2022-11-15 03:24:11,11753.2,0.0,0.0,-1108.8,-23.1,1316
56017992,2022-11-14 19:21:07,buy,9.0,US100.cash,11756.9,11690.0,11830.0,2022-11-14 20:20:50,11830.7,0.0,0.0,664.2,73.8,3583
56019862,2022-11-14 19:35:15,buy,5.0,US100.cash,11800.6,0.0,0.0,2022-11-14 19:40:47,11803.4,0.0,0.0,14.0,2.8,332
55908918,2022-11-14 04:47:14,sell,22.0,US100.cash,11758.7,11794.0,11704.0,2022-11-14 14:04:32,11733.8,0.0,0.0,547.8,24.9,33438
